Field,Zone,Area_m2,Before_Min,Before_Mean,Before_Max,After_Min,After_Mean,After_Max,Change_Value,Growth_Rate(%)
SM05,Zone 3,12909,0.3654,0.3801,0.3944,0.3553,0.7282,0.821,0.3481,91.58
SM05,Zone 4,12818,0.3944,0.4108,0.4291,0.2455,0.7509,0.8271,0.3401,82.8
SM05,Zone 5,11737,0.4291,0.4744,0.7715,0.3964,0.7517,0.8284,0.2773,58.46
SM06,Zone 1,12192,0.0479,0.2315,0.2599,0.0268,0.469,0.777,0.2374,102.54
SM06,Zone 2,12768,0.2599,0.2748,0.2888,0.2004,0.5574,0.8011,0.2826,102.81
SM06,Zone 3,12767,0.2888,0.3025,0.3169,0.1825,0.6323,0.8078,0.3298,109.04
SM06,Zone 4,12738,0.3169,0.3355,0.3584,0.2397,0.7023,0.8133,0.3668,109.34
SM06,Zone 5,11494,0.3584,0.4316,0.7667,0.2448,0.7137,0.817,0.282,65.34
SM07,Zone 1,12997,0.0624,0.2851,0.3276,0.0367,0.6692,0.8256,0.3841,134.72
SM07,Zone 2,13143,0.3276,0.346,0.3622,0.1909,0.7645,0.8318,0.4185,120.94
SM07,Zone 3,13146,0.3622,0.3767,0.3913,0.0917,0.7731,0.8333,0.3965,105.25
SM07,Zone 4,13123,0.3913,0.4081,0.4283,0.2345,0.7783,0.8339,0.3702,90.73
SM07,Zone 5,11739,0.4283,0.5028,0.7731,0.2331,0.7464,0.8348,0.2436,48.45
SM08,Zone 1,13017,0.0619,0.244,0.2758,0.0674,0.5978,0.8079,0.3539,145.06
SM08,Zone 2,13065,0.2758,0.2926,0.3078,0.164,0.6858,0.8169,0.3933,134.42
SM08,Zone 3,13062,0.3078,0.3218,0.3364,0.1794,0.7247,0.8198,0.4029,125.22
SM08,Zone 4,13022,0.3364,0.3542,0.3764,0.1675,0.7495,0.8205,0.3953,111.62
SM08,Zone 5,11083,0.3764,0.4623,0.7543,0.2139,0.7099,0.8212,0.2477,53.57
SM09,Zone 1,12497,0.0552,0.2466,0.2889,0.0514,0.4671,0.808,0.2205,89.44
SM09,Zone 2,12860,0.2889,0.3122,0.3318,0.1096,0.5618,0.814,0.2496,79.95
SM09,Zone 3,12865,0.3318,0.3484,0.3648,0.1765,0.6312,0.8211,0.2828,81.18
SM09,Zone 4,12835,0.3648,0.3839,0.4059,0.1706,0.6943,0.8227,0.3103,80.84
SM09,Zone 5,11414,0.4059,0.4622,0.7341,0.147,0.7016,0.8226,0.2394,51.8
SM10,Zone 1,12689,0.0579,0.2081,0.2346,0.0525,0.4542,0.7944,0.2461,118.26
SM10,Zone 2,12842,0.2346,0.2498,0.264,0.0648,0.5134,0.8129,0.2636,105.51
SM10,Zone 3,12843,0.264,0.2789,0.2948,0.1419,0.5732,0.8215,0.2943,105.5
SM10,Zone 4,12805,0.2948,0.3147,0.3389,0.2003,0.6467,0.8231,0.3321,105.53
SM10,Zone 5,11199,0.3389,0.4217,0.7592,0.0904,0.6769,0.828,0.2553,60.54
SM11,Zone 1,13331,0.0589,0.1915,0.2388,0.0064,0.5139,0.818,0.3223,168.29
SM11,Zone 2,13333,0.2388,0.2736,0.3052,0.143,0.5454,0.8205,0.2718,99.32
SM11,Zone 3,13311,0.3052,0.3324,0.3592,0.1075,0.6247,0.8229,0.2923,87.92
SM11,Zone 4,13212,0.3593,0.3886,0.4227,0.0844,0.6872,0.8285,0.2986,76.84
SM11,Zone 5,11436,0.4227,0.5046,0.767,0.2516,0.7232,0.8381,0.2185,43.31
SM12,Zone 1,11321,0.0758,0.2013,0.2476,0.1181,0.4806,0.8226,0.2793,138.75
SM12,Zone 2,11297,0.2476,0.2823,0.314,0.1361,0.5258,0.8368,0.2434,86.23
SM12,Zone 3,11225,0.314,0.3432,0.372,0.1517,0.6245,0.8305,0.2813,81.98
SM12,Zone 4,10980,0.372,0.4031,0.4367,0.1782,0.7049,0.8358,0.3018,74.87
SM12,Zone 5,9600,0.4367,0.515,0.7964,0.22,0.721,0.8407,0.206,40.01
